state,region,population
Alabama,South,4903185
Alaska,West,731545
Arizona,West,7278717
Arkansas,South,3017825
California,West,39512223
Colorado,West,5758736
Connecticut,North East,3565287
Delaware,South,973764
Florida,South,21477737
Georgia,South,10617423
Hawaii,West,1415872
Idaho,West,1787065
Illinois,Midwest,12671821
Indiana,Midwest,6732219
Iowa,Midwest,3155070
Kansas,Midwest,2913314
Kentucky,South,4467673
Louisiana,South,4648794
Maine,North East,1344212
Maryland,South,6045680
Massachusetts,North East,6949503
Michigan,Midwest,9986857
Minnesota,Midwest,5639632
Mississippi,South,2976149
Missouri,Midwest,6137428
Montana,West,1068778
Nebraska,Midwest,1934408
Nevada,West,3080156
New Hampshire,North East,1359711
New Jersey,North East,8882190
New Mexico,West,2096829
New York,North East,19453561
North Carolina,South,10488084
North Dakota,Midwest,762062
Ohio,Midwest,11689100
Oklahoma,South,3956971
Oregon,West,4217737
Pennsylvania,North East,12801989
Rhode Island,North East,1059361
South Carolina,South,5148714
South Dakota,Midwest,884659
Tennessee,South,6833174
Texas,South,28995881
Utah,West,3205958
Vermont,North East,623989
Virginia,South,8535519
Washington,West,7614893
West Virginia,South,1792147
Wisconsin,Midwest,5822434
Wyoming,West,578759
